Date,Open,High,Low,Close,Volume,,,,,,,
27-04-2020,156,160.65,155,157.3,9744555,,,,,,,
28-04-2020,159.4,160.3,157,159.4,8025743,,,,,,,
29-04-2020,160.8,166.4,159,164.1,11842945,,,,,,,
30-04-2020,168.6,188.7,167.5,180.65,16023029,,,,,,,
04-05-2020,170.95,170.95,162.35,163.55,10645228,,,,,,,
05-05-2020,167.5,171.65,162.8,163.9,12993334,,,,,,,
06-05-2020,165.5,169.3,163.15,165.8,8720744,,,,,,,
07-05-2020,164.2,174,162.5,172.2,11944057,,,,,,,
08-05-2020,175.55,176.6,167.5,168.65,9042793,,,,,,,
11-05-2020,170,176.4,168.75,174.55,9199262,,,,,,,
12-05-2020,172,179.6,167.05,178.2,11889650,,,,,,,
13-05-2020,189,189,180.6,182.35,10377119,,,,,,,
14-05-2020,179,180.4,174.2,175.2,5808569,,,,,,,
15-05-2020,176.9,179.4,173.25,174.3,11546095,,,,,,,
18-05-2020,175.8,176.2,162.1,163.25,8130435,,,,,,,
19-05-2020,167,172.95,165.9,169.3,11001050,,,,,,,
20-05-2020,169.3,173,168.3,171.05,10091663,,,,,,,
21-05-2020,172,174.85,168.95,169.9,11062426,,,,,,,
